"Trans./Event","Reference Document","Movement Type","Plant","Document Date","Posting Date","Material Slip","Doc.Header Text","Mat. Short Text","Qty in UnE","Sloc","Batch"
"Transfer Posting","Other","309","8100","20.09.2021","20.09.2021","REPACKING","REP. CB TO CBX","FCS PALLET","2","3W01","I2021A"
"Transfer Posting","Other","309","8100","20.09.2021","20.09.2021","REPACKING","REP. CB TO CBX","FJ-60 CBX ISPM","2","3W01","A2UIJHIKHG"
"Transfer Posting","Other","309","8100","20.09.2021","20.09.2021","REPACKING","REP. CB TO CBX","FJ-57 CBX","1","3W01","A1UIKKIKGK"
